,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5146100521087646,0.10233343,0.09407019,0.03879851,0.031567533,0.3122735023498535,0.089965224,0.07860263,0.04895105,0.03521127,0.9556329250335692
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=tree,0.5146100521087646,0.10233343,0.09407019,0.03879851,0.031567533,0.3122735023498535,0.089965224,0.07860263,0.04895105,0.03521127,0.9374630451202391
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=stump,0.5435064435005188,0.19751468,0.20195007,0.043633103,0.0383462,1.979996681213379,0.14239044,0.13932124,0.050458714,0.03686636,7.081047296524048
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5435064435005188,0.19751468,0.20195007,0.043633103,0.0383462,1.979996681213379,0.14239044,0.13932124,0.050458714,0.03686636,7.260649681091309
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=stump,0.5435064435005188,0.19751468,0.20195007,0.043633103,0.0383462,1.979996681213379,0.14239044,0.13932124,0.050458714,0.03686636,7.390442848205566
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5752109885215759,0.23343752,0.23469919,0.054031096,0.04733494,2.646414279937744,0.17074986,0.16468453,0.05263158,0.0528169,3.075977563858032
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=stump,0.5435064435005188,0.19751468,0.20195007,0.043633103,0.0383462,1.979996681213379,0.14239044,0.13932124,0.050458714,0.03686636,7.098868131637573
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=stump,0.5752109885215759,0.23343752,0.23469919,0.054031096,0.04733494,2.646414279937744,0.17074986,0.16468453,0.05263158,0.0528169,2.96537709236145
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=stump,0.8129809498786926,0.28744227,0.29315364,0.10895029,0.10461378,1.896576881408692,0.25267142,0.2511906,0.14067279,0.13190185,8.593193054199219
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=stump,0.8129809498786926,0.28744227,0.29315364,0.10895029,0.10461378,1.896576881408692,0.25267142,0.2511906,0.14067279,0.13190185,8.745203971862793
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=stump,0.8129809498786926,0.28744227,0.29315364,0.10895029,0.10461378,1.896576881408692,0.25267142,0.2511906,0.14067279,0.13190185,8.659736156463623
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.8129809498786926,0.28744227,0.29315364,0.10895029,0.10461378,1.896576881408692,0.25267142,0.2511906,0.14067279,0.13190185,8.790623188018799
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=tree,0.5146100521087646,0.10233343,0.09407019,0.03879851,0.031567533,0.3122735023498535,0.089965224,0.07860263,0.04895105,0.03521127,0.8498029708862305
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=stump,0.5752116441726685,0.23343971,0.23470102,0.054031476,0.047335185,2.6463735103607178,0.17075133,0.1646857,0.05263158,0.0528169,4.516161680221558
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=stump,0.5752116441726685,0.23343971,0.23470102,0.054031476,0.047335185,2.6463735103607178,0.17075133,0.1646857,0.05263158,0.0528169,4.466313362121582
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.47719297,0.45774648,0.0001041889190673
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.47719297,0.45774648,0.0001351833343505
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.47719297,0.45774648,0.0001506805419921
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.47719297,0.45774648,0.0001106262207031
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=tree,0.5794436078101757,0.0976868,0.091596566,0.05213567,0.034941193,0.0,0.10097907,0.080739476,0.062937066,0.03521127,0.0001301765441894
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5794436078101757,0.0976868,0.091596566,0.05213567,0.034941193,0.0,0.10097907,0.080739476,0.062937066,0.03521127,0.0001246929168701
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=tree,0.5794436078101757,0.0976868,0.091596566,0.05213567,0.034941193,0.0,0.10097907,0.080739476,0.062937066,0.03521127,0.0001273155212402
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=tree,0.5794436078101757,0.0976868,0.091596566,0.05213567,0.034941193,0.0,0.10097907,0.080739476,0.062937066,0.03521127,0.0001084804534912
data=usvotes/delta=0.05/epoch=2000/learner=bound-risk/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=tree,0.3422293365001678,0.040159475,0.07218067,0.021308532,0.03905353,2.755467176437378,0.04138827,0.075143866,0.027522936,0.059907835,32.611743211746216
