,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=svmguide/delta=0.05/epoch=2000/learner=nothing/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2004999409777285,0.038976938,0.039620105,0.027799606,0.025985,0.0,0.047288075,0.045795053,0.04012945,0.0335,0.0001096725463867
data=svmguide/delta=0.05/epoch=2000/learner=bound-joint/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1738427728414535,0.04216356,0.0433025,0.023843117,0.02438635,0.5682640075683594,0.044924896,0.0460376,0.03171521,0.03075,2.6619834899902344
data=svmguide/delta=0.05/epoch=2000/learner=nothing/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2312456872836908,0.065591745,0.06550659,0.033462975,0.03185665,0.0,0.06625885,0.064609945,0.039482202,0.0355,0.0001089572906494
data=svmguide/delta=0.05/epoch=2000/learner=bound-joint/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2573707997798919,0.09889067,0.11452308,0.041828405,0.048145123,0.0022444725036621,0.09127374,0.105406664,0.066019416,0.0785,1.0568499565124512
data=haberman/delta=0.05/epoch=2000/learner=bound-joint/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.5383390188217163,0.24472658,0.20040183,0.19839281,0.16026911,0.1342620849609375,0.3207561,0.26047003,0.27272728,0.22222222,0.7235932350158691
data=haberman/delta=0.05/epoch=2000/learner=bound-joint/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.6296840906143188,0.12113442,0.09798515,0.22008137,0.18658358,0.0638880729675293,0.2806486,0.23557615,0.27272728,0.22222222,0.4697694778442383
data=haberman/delta=0.05/epoch=2000/learner=bound-joint/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.48143470287323,0.26299506,0.20667736,0.18166453,0.20291796,0.3067631721496582,0.31316206,0.30625665,0.24675325,0.26143792,0.8180813789367676
data=svmguide/delta=0.05/epoch=2000/learner=bound-joint/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1780875921249389,0.04017223,0.040669885,0.024924902,0.025665147,0.4404430389404297,0.045011017,0.04600009,0.033009708,0.03225,2.1411328315734863
data=haberman/delta=0.05/epoch=2000/learner=bound-joint/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.548790693283081,0.24964145,0.20724039,0.19656377,0.20927536,0.2783646583557129,0.3213845,0.31289557,0.25974026,0.27450982,1.2891383171081543
data=haberman/delta=0.05/epoch=2000/learner=bound-joint/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.480279803276062,0.25374418,0.19538501,0.18315315,0.17342459,0.2431216239929199,0.31002524,0.2711171,0.24675325,0.22222222,1.0195481777191162
data=haberman/delta=0.05/epoch=2000/learner=bound-risk/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9045931100845336,0.010043336,0.008722079,0.24311976,0.2306654,0.927271842956543,0.24814142,0.23502643,0.24675325,0.23529412,30.833580017089844
data=haberman/delta=0.05/epoch=2000/learner=bound-risk/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9840622544288636,0.12263479,0.094935454,0.22353171,0.17082259,0.905238151550293,0.2848491,0.21829031,0.27272728,0.20261438,31.017426013946533
data=heart/delta=0.05/epoch=2000/learner=bound-risk/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.6778731942176819,0.034220796,0.086592935,0.11311542,0.26657814,2.601407051086426,0.13022582,0.3098746,0.12,0.29054055,38.74839210510254
data=heart/delta=0.05/epoch=2000/learner=bound-risk/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8327884078025818,0.17467108,0.21791157,0.113995776,0.16458295,1.8739681243896484,0.20133132,0.27353874,0.14666666,0.22972973,39.07145404815674
data=credit/delta=0.05/epoch=2000/learner=bound-risk/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5744780898094177,0.04225256,0.03327965,0.12367452,0.1213022,2.994149923324585,0.1448008,0.13794203,0.14634146,0.12883435,40.7300751209259
data=haberman/delta=0.05/epoch=2000/learner=bound-risk/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9964097738265992,0.1775892,0.15626225,0.19146982,0.21997087,1.6220991611480713,0.2802644,0.298102,0.25974026,0.26797387,31.001161336898804
data=haberman/delta=0.05/epoch=2000/learner=bound-risk/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9459134340286256,0.10660923,0.08423462,0.19450814,0.20961861,2.3070931434631348,0.24781275,0.25173593,0.23376623,0.26143792,31.441385984420776
