,bound-blanchard-mean,bound-blanchard-std,bound-catoni-mean,bound-catoni-std,bound-kl-sample,bound-ours-mean,bound-ours-std,bound-renyi-sample,bound-rivasplata-mean,bound-rivasplata-std,div-kl,div-renyi,div-rivasplata-mean,div-rivasplata-std,post-risk-mean,post-risk-std,test-risk-mean,test-risk-std,prior-risk-mean,prior-risk-std
batch_size=32/bound=ours/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.001,0.9057798828184604,0.0144145021269976,0.9062980039415066,0.0141861776967417,0.9437124729156494,0.9081864880025386,0.0142980555261524,0.9437809586524964,0.9062771932780742,0.0143972102638756,0.3357419967651367,0.6714839935302734,0.3022575122414855,0.8021850165011521,0.901072084903717,0.0147835221141576,0.9015742540359496,0.0154283037409186,,
batch_size=32/bound=catoni/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.001,0.9393258634209632,0.0170706399235129,0.9371172348976754,0.0147732171482988,0.9592405557632446,0.9394993191957474,0.0169878009837307,0.9685682654380798,0.9265320451557636,0.0187336446905601,566.6173095703125,1133.234619140625,567.8929306793212,33.441265413338726,0.8881089687347412,0.0226145684719085,0.8879945278167725,0.0232615303248167,,
batch_size=32/bound=catoni/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.001,0.906706470400095,0.0132907842155865,0.906350877826168,0.0130743013935039,0.9438837170600892,0.9086995562911032,0.0130723066790965,0.9443763494491576,0.906553738117218,0.013248845475223,2.827311038970948,5.654622077941895,3.0878207384143024,2.379002090241718,0.900661289691925,0.0135833537206053,0.9010995626449584,0.014159221202135,,
batch_size=32/bound=None/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=None/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=prior/var=1e-06,0.9710895374417304,0.0255309281458262,0.972025851701053,0.0260978346427545,0.9900000095367432,0.9720878034830094,0.0247286851048514,0.9900000095367432,0.9713705974817276,0.0253104243437314,0.0,0.0,-2.561137080192566e-05,0.0056174845340284,0.9698363542556764,0.027323380112648,0.9695410132408142,0.0280623063445091,,
batch_size=32/bound=blanchard/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.001,0.9067579641938208,0.013757745120743,0.9064184407776036,0.0135586191452858,0.9439535140991212,0.9087914615869522,0.0135682665228818,0.944453775882721,0.9066171936690808,0.0137321195894204,2.881176710128784,5.762353420257568,3.04095003368333,2.4592519818918843,0.9007401466369628,0.0141068194061517,0.9011270403862,0.0146379359066486,,
batch_size=32/bound=blanchard/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.001,0.9393551291525364,0.0118769442913365,0.9412072204186162,0.0097396567313368,0.9607771635055542,0.9395990125834942,0.011736458148971,0.9685601592063904,0.9286690478026868,0.0128034429179167,390.7879638671875,781.575927734375,391.34260223388674,28.18193701155023,0.8972698450088501,0.0150147601962089,0.8975200057029724,0.0154032604768872,,
batch_size=32/bound=ours/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9712864601612092,0.0254615545461515,0.972230116625355,0.0260505314735494,0.9900000095367432,0.9722639386355876,0.0246670711828223,0.9900000095367432,0.9715514928102492,0.025251537406301,0.00823316257447,0.01646632514894,0.0198674388229846,0.1297312354063977,0.9700469970703124,0.0272705014795064,0.9697502851486206,0.0280039403587579,,
batch_size=32/bound=rivasplata/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9787103939056396,0.0185417607360373,0.9837513184574332,0.0164577062439134,0.9900000095367432,0.9788006292283536,0.0184632188979564,0.9900000095367432,0.9767682214081288,0.0206885167624563,122.72361755371094,245.44723510742188,123.32796579360962,15.92855971471648,0.9706951975822448,0.0270829647779464,0.9704262614250184,0.0278020668774843,,
batch_size=32/bound=catoni/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9782625518739224,0.0187575450662724,0.9832762671672106,0.0165656823995779,0.9900000095367432,0.9783553950488568,0.0186778044944689,0.9900000095367432,0.9762598341703416,0.0209109818153446,121.80680847167967,243.6136169433593,122.3638094139099,15.859568055380524,0.9699220061302184,0.0272567775100469,0.9696311950683594,0.0279996749013662,,
batch_size=32/bound=blanchard/data=fashion/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9900000095367432,0.0,1.0,0.0,0.9900000095367432,0.9900000095367432,0.0,0.9900000095367432,0.9900000095367432,0.0,12017.8369140625,24035.673828125,12019.121296386718,166.2509913167853,0.9843202829360962,0.0149345584213733,0.9843209981918336,0.0151750454679131,,
